2024-03-14 19:55:57 {'message': 'received a viewing request', 'requested streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:09 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.20959678399958648, 'data_size': 231534}
2024-03-14 19:57:11 {'message': 'received broadcasted data', 'length of data': 149457, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:11 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.1103622130030999, 'data_size': 149457}
2024-03-14 19:57:16 {'message': 'received broadcasted data', 'length of data': 318741, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:57:16 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0013482819995260797, 'data_size': 318741}
2024-03-14 19:57:18 {'message': 'received broadcasted data', 'length of data': 334927, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:18 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.2922351119996165, 'data_size': 334927}
2024-03-14 19:57:19 {'message': 'received broadcasted data', 'length of data': 285370, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:57:19 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005596289993263781, 'data_size': 285370}
2024-03-14 19:57:19 {'message': 'received broadcasted data', 'length of data': 183417, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:19 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00037086800148244947, 'data_size': 183417}
2024-03-14 19:57:26 {'message': 'received broadcasted data', 'length of data': 403445, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:57:26 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00034695900103542954, 'data_size': 403445}
2024-03-14 19:57:28 {'message': 'received broadcasted data', 'length of data': 400360, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:28 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004277780026313849, 'data_size': 400360}
2024-03-14 19:57:28 {'message': 'received broadcasted data', 'length of data': 43159, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:28 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.16760139699908905, 'data_size': 43159}
2024-03-14 19:57:29 {'message': 'received broadcasted data', 'length of data': 22573, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:57:29 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003001080040121451, 'data_size': 22573}
2024-03-14 19:57:36 {'message': 'received broadcasted data', 'length of data': 433405, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:57:36 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004546900017885491, 'data_size': 433405}
2024-03-14 19:57:38 {'message': 'received broadcasted data', 'length of data': 418426, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:38 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.1997223779981141, 'data_size': 418426}
2024-03-14 19:57:38 {'message': 'received broadcasted data', 'length of data': 75535, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:38 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0007346329948632047, 'data_size': 75535}
2024-03-14 19:57:39 {'message': 'received broadcasted data', 'length of data': 71803, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:57:39 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000506021999171935, 'data_size': 71803}
2024-03-14 19:57:46 {'message': 'received broadcasted data', 'length of data': 345677, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:57:46 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0006747750012436882, 'data_size': 345677}
2024-03-14 19:57:48 {'message': 'received broadcasted data', 'length of data': 327745, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:48 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.06936412899813149, 'data_size': 327745}
2024-03-14 19:57:49 {'message': 'received broadcasted data', 'length of data': 131483, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:49 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0009432259976165369, 'data_size': 131483}
2024-03-14 19:57:50 {'message': 'received broadcasted data', 'length of data': 146328, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:57:50 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0006827049946878105, 'data_size': 146328}
2024-03-14 19:57:56 {'message': 'received broadcasted data', 'length of data': 333687, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:57:56 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.07981340600235853, 'data_size': 333687}
2024-03-14 19:57:58 {'message': 'received broadcasted data', 'length of data': 347456, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:57:58 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005875780043425038, 'data_size': 347456}
2024-03-14 19:57:59 {'message': 'received broadcasted data', 'length of data': 22414, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:57:59 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0006312129989964887, 'data_size': 22414}
2024-03-14 19:58:00 {'message': 'received broadcasted data', 'length of data': 253201, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:58:00 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0011567479959921911, 'data_size': 253201}
2024-03-14 19:58:06 {'message': 'received broadcasted data', 'length of data': 313455, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:58:06 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005873819973203354, 'data_size': 313455}
2024-03-14 19:58:08 {'message': 'received broadcasted data', 'length of data': 318889, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:58:08 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.09984896799869603, 'data_size': 318889}
2024-03-14 19:58:09 {'message': 'received broadcasted data', 'length of data': 78248, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:58:09 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0007339779986068606, 'data_size': 78248}
2024-03-14 19:58:09 {'message': 'received broadcasted data', 'length of data': 189773, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:58:09 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.001374472994939424, 'data_size': 189773}
