2024-03-14 19:40:38 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0002506579985492863, 'data_size': 268453}
2024-03-14 19:40:48 {'message': 'received broadcasted data', 'length of data': 248772, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:40:48 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00028594299510587007, 'data_size': 248772}
2024-03-14 19:40:58 {'message': 'received broadcasted data', 'length of data': 250486, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:40:58 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00025708400062285364, 'data_size': 250486}
2024-03-14 19:41:08 {'message': 'received broadcasted data', 'length of data': 273028, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:08 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00026627499755704775, 'data_size': 273028}
2024-03-14 19:41:18 {'message': 'received broadcasted data', 'length of data': 281445, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:18 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0002849259981303476, 'data_size': 281445}
2024-03-14 19:41:28 {'message': 'received broadcasted data', 'length of data': 367198, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:28 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00032217999978456646, 'data_size': 367198}
2024-03-14 19:41:38 {'message': 'received broadcasted data', 'length of data': 415057, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:38 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.03678722199401818, 'data_size': 415057}
2024-03-14 19:41:48 {'message': 'received broadcasted data', 'length of data': 394803, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:48 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003975989966420457, 'data_size': 394803}
2024-03-14 19:41:58 {'message': 'received broadcasted data', 'length of data': 281974, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:41:58 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00034444899938534945, 'data_size': 281974}
2024-03-14 19:42:08 {'message': 'received broadcasted data', 'length of data': 287049, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:42:08 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00026023499958682805, 'data_size': 287049}
