2024-03-14 20:20:38 {'message': 'received a viewing request', 'requested streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:22:44 {'message': 'received broadcasted data', 'length of data': 195012, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:22:44 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005399980000220239, 'data_size': 195012}
2024-03-14 20:22:48 {'message': 'received broadcasted data', 'length of data': 212007, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:22:48 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00030927999614505097, 'data_size': 212007}
2024-03-14 20:22:55 {'message': 'received broadcasted data', 'length of data': 210828, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:22:55 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005158499989192933, 'data_size': 210828}
2024-03-14 20:22:58 {'message': 'received broadcasted data', 'length of data': 203398, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:22:58 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000413776004279498, 'data_size': 203398}
2024-03-14 20:23:05 {'message': 'received broadcasted data', 'length of data': 233627, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:05 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004257930049789138, 'data_size': 233627}
2024-03-14 20:23:08 {'message': 'received broadcasted data', 'length of data': 203286, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:08 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005107949982630089, 'data_size': 203286}
2024-03-14 20:23:15 {'message': 'received broadcasted data', 'length of data': 226098, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:15 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00040257899672724307, 'data_size': 226098}
2024-03-14 20:23:18 {'message': 'received broadcasted data', 'length of data': 198619, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:18 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000612746000115294, 'data_size': 198619}
2024-03-14 20:23:25 {'message': 'received broadcasted data', 'length of data': 234240, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:25 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00041673699888633564, 'data_size': 234240}
2024-03-14 20:23:28 {'message': 'received broadcasted data', 'length of data': 198313, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:28 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0007161380053730682, 'data_size': 198313}
2024-03-14 20:23:35 {'message': 'received broadcasted data', 'length of data': 205178, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:35 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000478671005112119, 'data_size': 205178}
2024-03-14 20:23:39 {'message': 'received broadcasted data', 'length of data': 203203, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:39 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005783230008091778, 'data_size': 203203}
2024-03-14 20:23:45 {'message': 'received broadcasted data', 'length of data': 224091, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:45 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005367050034692511, 'data_size': 224091}
2024-03-14 20:23:49 {'message': 'received broadcasted data', 'length of data': 220124, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:49 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000264276000962127, 'data_size': 220124}
2024-03-14 20:23:55 {'message': 'received broadcasted data', 'length of data': 212263, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:23:55 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004918449994875118, 'data_size': 212263}
2024-03-14 20:23:59 {'message': 'received broadcasted data', 'length of data': 232675, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:23:59 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00042056699749082327, 'data_size': 232675}
2024-03-14 20:24:05 {'message': 'received broadcasted data', 'length of data': 214163, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
